mode,rate_pps,repeat,status,measured_pps,run_dir,log_file
katran-orig-bpf,150000,2,ok,150015,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002131Z-katran-suite-katran-orig-bpf-150000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-150000-r2.log
katran-orig-bpf,150000,3,ok,150015,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002208Z-katran-suite-katran-orig-bpf-150000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-150000-r3.log
katran-orig-bpf,200000,1,ok,200000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002246Z-katran-suite-katran-orig-bpf-200000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-200000-r1.log
katran-orig-bpf,200000,2,ok,200000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002323Z-katran-suite-katran-orig-bpf-200000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-200000-r2.log
katran-orig-bpf,200000,3,ok,199999,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002400Z-katran-suite-katran-orig-bpf-200000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-200000-r3.log
katran-orig-bpf,250000,1,ok,249999,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002438Z-katran-suite-katran-orig-bpf-250000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-250000-r1.log
katran-orig-bpf,250000,2,ok,250000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002515Z-katran-suite-katran-orig-bpf-250000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-250000-r2.log
katran-orig-bpf,250000,3,ok,250000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002553Z-katran-suite-katran-orig-bpf-250000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-250000-r3.log
katran-orig-bpf,300000,1,ok,300030,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002630Z-katran-suite-katran-orig-bpf-300000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-300000-r1.log
katran-orig-bpf,300000,2,ok,300030,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002708Z-katran-suite-katran-orig-bpf-300000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-300000-r2.log
katran-orig-bpf,300000,3,ok,300030,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002745Z-katran-suite-katran-orig-bpf-300000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-300000-r3.log
katran-orig-bpf,350000,1,ok,350017,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002822Z-katran-suite-katran-orig-bpf-350000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-350000-r1.log
katran-orig-bpf,350000,2,ok,350017,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002900Z-katran-suite-katran-orig-bpf-350000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-350000-r2.log
katran-orig-bpf,350000,3,ok,350017,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002937Z-katran-suite-katran-orig-bpf-350000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-350000-r3.log
katran-orig-bpf,400000,1,ok,400000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T003015Z-katran-suite-katran-orig-bpf-400000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-400000-r1.log
katran-orig-bpf,400000,2,ok,399999,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T003052Z-katran-suite-katran-orig-bpf-400000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-400000-r2.log
katran-orig-bpf,400000,3,ok,399999,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T003130Z-katran-suite-katran-orig-bpf-400000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-400000-r3.log
katran-orig-bpf,450000,1,ok,450044,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T003207Z-katran-suite-katran-orig-bpf-450000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-450000-r1.log
